2024-10-17 11:26:46,139 - INFO - Mapping ('1', '2233') to 10002233.tif
2024-10-17 11:26:46,140 - INFO - Mapping ('1', '2444') to 10002444.tif
2024-10-17 11:26:46,140 - INFO - Mapping ('1', '2483') to 10002483.tif
2024-10-17 11:26:46,140 - INFO - Mapping ('1', '2486') to 10002486.tif
2024-10-17 11:26:46,141 - INFO - Mapping ('1', '2236') to 10002236.tif
2024-10-17 11:26:46,141 - INFO - Mapping ('1', '2541') to 10002541.tif
2024-10-17 11:26:46,141 - INFO - Mapping ('1', '2357') to 10002357.tif
2024-10-17 11:26:46,142 - INFO - Mapping ('1', '2279') to 10002279.tif
2024-10-17 11:26:46,142 - INFO - Mapping ('1', '2378') to 10002378.tif
2024-10-17 11:26:46,142 - INFO - Mapping ('1', '2311') to 10002311.tif
2024-10-17 11:26:46,142 - INFO - Mapping ('1', '2360') to 10002360.tif
2024-10-17 11:26:46,143 - INFO - Mapping ('1', '2606') to 10002606.tif
2024-10-17 11:26:46,143 - INFO - Mapping ('2', '2209') to 20002209.tif
2024-10-17 11:26:46,143 - INFO - Mapping ('2', '2222') to 20002222.tif
2024-10-17 11:26:46,143 - INFO - Mapping ('2', '2224') to 20002224.tif
2024-10-17 11:26:46,143 - INFO - Mapping ('2', '2242') to 20002242.tif
2024-10-17 11:26:46,143 - INFO - Mapping ('2', '2265') to 20002265.tif
2024-10-17 11:26:46,144 - INFO - Mapping ('2', '2272') to 20002272.tif
2024-10-17 11:26:46,144 - INFO - Mapping ('2', '2300') to 20002300.tif
2024-10-17 11:26:46,144 - INFO - Mapping ('2', '2317') to 20002317.tif
2024-10-17 11:26:46,144 - INFO - Mapping ('2', '2328') to 20002328.tif
2024-10-17 11:26:46,145 - INFO - Mapping ('2', '2338') to 20002338.tif
2024-10-17 11:26:46,145 - INFO - Mapping ('2', '2362') to 20002362.tif
2024-10-17 11:26:46,145 - INFO - Mapping ('2', '2368') to 20002368.tif
2024-10-17 11:26:46,145 - INFO - Mapping ('2', '2391') to 20002391.tif
2024-10-17 11:26:46,146 - INFO - Mapping ('2', '2393') to 20002393.tif
2024-10-17 11:26:46,146 - INFO - Mapping ('2', '2478') to 20002478.tif
2024-10-17 11:26:46,146 - INFO - Mapping ('2', '2520') to 20002520.tif
2024-10-17 11:26:46,146 - INFO - Mapping ('2', '2542') to 20002542.tif
2024-10-17 11:26:46,146 - INFO - Mapping ('1', '2241') to 10002241.tif
2024-10-17 11:26:46,147 - INFO - Mapping ('1', '2228') to 10002228.tif
2024-10-17 11:26:46,147 - INFO - Mapping ('1', '2337') to 10002337.tif
2024-10-17 11:26:46,147 - INFO - Mapping ('1', '2575') to 10002575.tif
2024-10-17 11:26:46,147 - INFO - Mapping ('1', '2349') to 10002349.tif
2024-10-17 11:26:46,147 - INFO - Mapping ('1', '2560') to 10002560.tif
2024-10-17 11:26:46,148 - INFO - Mapping ('1', '2280') to 10002280.tif
2024-10-17 11:26:46,148 - INFO - Mapping ('1', '2219') to 10002219.tif
2024-10-17 11:26:46,148 - INFO - Mapping ('1', '2534') to 10002534.tif
2024-10-17 11:26:46,148 - INFO - Mapping ('1', '2308') to 10002308.tif
2024-10-17 11:26:46,148 - INFO - Mapping ('1', '2430') to 10002430.tif
2024-10-17 11:26:46,149 - INFO - Mapping ('1', '2520') to 10002520.tif
2024-10-17 11:26:46,149 - INFO - Mapping ('1', '2307') to 10002307.tif
2024-10-17 11:26:46,149 - INFO - Mapping ('2', '2218') to 20002218.tif
2024-10-17 11:26:46,149 - INFO - Mapping ('1', '2474') to 10002474.tif
2024-10-17 11:26:46,149 - INFO - Mapping ('1', '2441') to 10002441.tif
2024-10-17 11:26:46,150 - INFO - Mapping ('1', '2440') to 10002440.tif
2024-10-17 11:26:46,150 - INFO - Mapping ('1', '2327') to 10002327.tif
2024-10-17 11:26:46,150 - INFO - Mapping ('1', '2530') to 10002530.tif
2024-10-17 11:26:46,151 - INFO - Mapping ('2', '2281') to 20002281.tif
2024-10-17 11:26:46,151 - INFO - Mapping ('1', '2595') to 10002595.tif
2024-10-17 11:26:46,151 - INFO - Mapping ('1', '2256') to 10002256.tif
2024-10-17 11:26:46,152 - INFO - Mapping ('1', '2482') to 10002482.tif
